'2013-03-16 17:22:54,621 - django.db.backends - DEBUG - (0.019) SELECT `listings_listing`.`id`, `listings_listing`.`url`, `listings_listing`.`creator`, `listings_listing`.`created`, `listings_listing`.`lastModified`, `listings_listing`.`title`, `listings_listing`.`textContent`, `listings_listing`.`verified`, `listings_listing`.`category`, `listings_listing`.`price`, `listings_listing`.`num`, `listings_listing`.`street`, `listings_listing`.`city`, `listings_listing`.`zipcode`, `listings_listing`.`location`, `listings_listing`.`flagCount`, `listings_listing`.`expires`, `listings_listing`.`expired`, `listings_listing`.`survey_id`, `listings_listing`.`survey_time_sent` FROM `listings_listing` WHERE `listings_listing`.`expired` = 0 ; args=(False,)'
'2013-03-16 17:26:44,978 - django.db.backends - DEBUG - (0.058) SELECT `listings_listing`.`id`, `listings_listing`.`url`, `listings_listing`.`creator`, `listings_listing`.`created`, `listings_listing`.`lastModified`, `listings_listing`.`title`, `listings_listing`.`textContent`, `listings_listing`.`verified`, `listings_listing`.`category`, `listings_listing`.`price`, `listings_listing`.`num`, `listings_listing`.`street`, `listings_listing`.`city`, `listings_listing`.`zipcode`, `listings_listing`.`location`, `listings_listing`.`flagCount`, `listings_listing`.`expires`, `listings_listing`.`expired`, `listings_listing`.`survey_id`, `listings_listing`.`survey_time_sent` FROM `listings_listing` WHERE `listings_listing`.`survey_id` = '47b54d20-8e78-11e2-9e96-0800200c9a64' ; args=(u'47b54d20-8e78-11e2-9e96-0800200c9a64',)'
'2013-03-16 17:26:48,723 - django.db.backends - DEBUG - (0.071) SELECT `listings_listing`.`id`, `listings_listing`.`url`, `listings_listing`.`creator`, `listings_listing`.`created`, `listings_listing`.`lastModified`, `listings_listing`.`title`, `listings_listing`.`textContent`, `listings_listing`.`verified`, `listings_listing`.`category`, `listings_listing`.`price`, `listings_listing`.`num`, `listings_listing`.`street`, `listings_listing`.`city`, `listings_listing`.`zipcode`, `listings_listing`.`location`, `listings_listing`.`flagCount`, `listings_listing`.`expires`, `listings_listing`.`expired`, `listings_listing`.`survey_id`, `listings_listing`.`survey_time_sent` FROM `listings_listing` WHERE `listings_listing`.`survey_id` = '47b54d20-8e78-11e2-9e96-0800200c9a64' ; args=(u'47b54d20-8e78-11e2-9e96-0800200c9a64',)'
'2013-03-16 17:26:48,825 - django.db.backends - DEBUG - (0.029) INSERT INTO `survey_system_survey` (`item`, `category`, `quantity`, `price`, `location`, `comments`, `listing_id`, `time_submitted`) VALUES ('435094390', '09', 90, 90, '09', '90', 2, '2013-03-16 17:26:48'); args=[u'435094390', u'09', 90, 90.0, u'09', u'90', 2, u'2013-03-16 17:26:48']'
'2013-03-16 17:26:48,959 - django.db.backends - DEBUG - (0.015) SELECT (1) AS `a` FROM `listings_listing` WHERE `listings_listing`.`id` = 2  LIMIT 1; args=(2,)'
'2013-03-16 17:26:49,035 - django.db.backends - DEBUG - (0.065) UPDATE `listings_listing` SET `url` = '1', `creator` = 'hubertngu@gmail.com', `created` = '1111-11-11 11:11:11', `lastModified` = '2013-03-16 17:26:48', `title` = '1', `textContent` = '1', `verified` = 1, `category` = 'Bricks', `price` = '1', `num` = 1, `street` = 'street', `city` = 'vancouver', `zipcode` = 'v5j 3a', `location` = 'metro', `flagCount` = 5, `expires` = '1111-11-11 11:11:11', `expired` = 1, `survey_id` = '47b54d20-8e78-11e2-9e96-0800200c9a64', `survey_time_sent` = NULL WHERE `listings_listing`.`id` = 2 ; args=(u'1', u'hubertngu@gmail.com', u'1111-11-11 11:11:11', u'2013-03-16 17:26:48', u'1', u'1', True, u'Bricks', u'1', 1, u'street', u'vancouver', u'v5j 3a', u'metro', 5, u'1111-11-11 11:11:11', True, u'47b54d20-8e78-11e2-9e96-0800200c9a64', 2)'
'2013-03-16 17:26:51,968 - django.db.backends - DEBUG - (0.070) SELECT `listings_listing`.`id`, `listings_listing`.`url`, `listings_listing`.`creator`, `listings_listing`.`created`, `listings_listing`.`lastModified`, `listings_listing`.`title`, `listings_listing`.`textContent`, `listings_listing`.`verified`, `listings_listing`.`category`, `listings_listing`.`price`, `listings_listing`.`num`, `listings_listing`.`street`, `listings_listing`.`city`, `listings_listing`.`zipcode`, `listings_listing`.`location`, `listings_listing`.`flagCount`, `listings_listing`.`expires`, `listings_listing`.`expired`, `listings_listing`.`survey_id`, `listings_listing`.`survey_time_sent` FROM `listings_listing` WHERE `listings_listing`.`survey_id` = '47b54d20-8e78-11e2-9e96-0800200c9a64' ; args=(u'47b54d20-8e78-11e2-9e96-0800200c9a64',)'
'2013-03-16 17:27:07,084 - django.db.backends - DEBUG - (0.021) SELECT `listings_listing`.`id`, `listings_listing`.`url`, `listings_listing`.`creator`, `listings_listing`.`created`, `listings_listing`.`lastModified`, `listings_listing`.`title`, `listings_listing`.`textContent`, `listings_listing`.`verified`, `listings_listing`.`category`, `listings_listing`.`price`, `listings_listing`.`num`, `listings_listing`.`street`, `listings_listing`.`city`, `listings_listing`.`zipcode`, `listings_listing`.`location`, `listings_listing`.`flagCount`, `listings_listing`.`expires`, `listings_listing`.`expired`, `listings_listing`.`survey_id`, `listings_listing`.`survey_time_sent` FROM `listings_listing` WHERE `listings_listing`.`expired` = 0 ; args=(False,)'
'2013-03-16 17:27:33,373 - django.db.backends - DEBUG - (0.072) SELECT `listings_listing`.`id`, `listings_listing`.`url`, `listings_listing`.`creator`, `listings_listing`.`created`, `listings_listing`.`lastModified`, `listings_listing`.`title`, `listings_listing`.`textContent`, `listings_listing`.`verified`, `listings_listing`.`category`, `listings_listing`.`price`, `listings_listing`.`num`, `listings_listing`.`street`, `listings_listing`.`city`, `listings_listing`.`zipcode`, `listings_listing`.`location`, `listings_listing`.`flagCount`, `listings_listing`.`expires`, `listings_listing`.`expired`, `listings_listing`.`survey_id`, `listings_listing`.`survey_time_sent` FROM `listings_listing` WHERE `listings_listing`.`expired` = 0 ; args=(False,)'
'2013-03-16 17:27:35,528 - django.db.backends - DEBUG - (0.032) INSERT INTO `mailer_email` (`to_email`, `from_email`, `subject`, `message`, `email_type`, `send_date`) VALUES ('hubertngu@gmail.com', 'from@email.com', 'Virtual Deconstruction Hub - Survey', 'Hi\n\nHave you recently purchased or sold material using us?\n\nIf so please follow the link below to provide us with some information regarding your transaction!  This information will help us generate statistics for everyone to view on our website.\n\nhttp://127.0.0.1:8000/survey/47b54d20-8e78-11e2-9e96-0800200c9a66\n\nThank you', 1, '2013-03-16 17:27:35'); args=[u'hubertngu@gmail.com', 'from@email.com', 'Virtual Deconstruction Hub - Survey', u'Hi\n\nHave you recently purchased or sold material using us?\n\nIf so please follow the link below to provide us with some information regarding your transaction!  This information will help us generate statistics for everyone to view on our website.\n\nhttp://127.0.0.1:8000/survey/47b54d20-8e78-11e2-9e96-0800200c9a66\n\nThank you', 1, u'2013-03-16 17:27:35']'
'2013-03-16 17:27:37,417 - django.db.backends - DEBUG - (0.022) INSERT INTO `mailer_email` (`to_email`, `from_email`, `subject`, `message`, `email_type`, `send_date`) VALUES ('hubertngu@gmail.com', 'from@email.com', 'Virtual Deconstruction Hub - Survey', 'Hi\n\nHave you recently purchased or sold material using us?\n\nIf so please follow the link below to provide us with some information regarding your transaction!  This information will help us generate statistics for everyone to view on our website.\n\nhttp://127.0.0.1:8000/survey/47b54d20-8e78-11e2-9e96-0800200c9a64\n\nThank you', 1, '2013-03-16 17:27:37'); args=[u'hubertngu@gmail.com', 'from@email.com', 'Virtual Deconstruction Hub - Survey', u'Hi\n\nHave you recently purchased or sold material using us?\n\nIf so please follow the link below to provide us with some information regarding your transaction!  This information will help us generate statistics for everyone to view on our website.\n\nhttp://127.0.0.1:8000/survey/47b54d20-8e78-11e2-9e96-0800200c9a64\n\nThank you', 1, u'2013-03-16 17:27:37']'
'2013-03-16 17:27:46,550 - django.db.backends - DEBUG - (0.073) SELECT `listings_listing`.`id`, `listings_listing`.`url`, `listings_listing`.`creator`, `listings_listing`.`created`, `listings_listing`.`lastModified`, `listings_listing`.`title`, `listings_listing`.`textContent`, `listings_listing`.`verified`, `listings_listing`.`category`, `listings_listing`.`price`, `listings_listing`.`num`, `listings_listing`.`street`, `listings_listing`.`city`, `listings_listing`.`zipcode`, `listings_listing`.`location`, `listings_listing`.`flagCount`, `listings_listing`.`expires`, `listings_listing`.`expired`, `listings_listing`.`survey_id`, `listings_listing`.`survey_time_sent` FROM `listings_listing` WHERE `listings_listing`.`survey_id` = '47b54d20-8e78-11e2-9e96-0800200c9a66' ; args=(u'47b54d20-8e78-11e2-9e96-0800200c9a66',)'
'2013-03-16 17:27:58,051 - django.db.backends - DEBUG - (0.068) SELECT `listings_listing`.`id`, `listings_listing`.`url`, `listings_listing`.`creator`, `listings_listing`.`created`, `listings_listing`.`lastModified`, `listings_listing`.`title`, `listings_listing`.`textContent`, `listings_listing`.`verified`, `listings_listing`.`category`, `listings_listing`.`price`, `listings_listing`.`num`, `listings_listing`.`street`, `listings_listing`.`city`, `listings_listing`.`zipcode`, `listings_listing`.`location`, `listings_listing`.`flagCount`, `listings_listing`.`expires`, `listings_listing`.`expired`, `listings_listing`.`survey_id`, `listings_listing`.`survey_time_sent` FROM `listings_listing` WHERE `listings_listing`.`survey_id` = '47b54d20-8e78-11e2-9e96-0800200c9a66' ; args=(u'47b54d20-8e78-11e2-9e96-0800200c9a66',)'
'2013-03-16 17:27:58,078 - django.db.backends - DEBUG - (0.011) INSERT INTO `survey_system_survey` (`item`, `category`, `quantity`, `price`, `location`, `comments`, `listing_id`, `time_submitted`) VALUES ('459942ij', 'jio', 99, 9889, 'h', ';h', 1, '2013-03-16 17:27:58'); args=[u'459942ij', u'jio', 99, 9889.0, u'h', u';h', 1, u'2013-03-16 17:27:58']'
'2013-03-16 17:27:58,228 - django.db.backends - DEBUG - (0.024) SELECT (1) AS `a` FROM `listings_listing` WHERE `listings_listing`.`id` = 1  LIMIT 1; args=(1,)'
'2013-03-16 17:27:58,365 - django.db.backends - DEBUG - (0.064) UPDATE `listings_listing` SET `url` = '1', `creator` = 'hubertngu@gmail.com', `created` = '1111-11-11 11:11:11', `lastModified` = '2013-03-16 17:27:58', `title` = '1', `textContent` = '1', `verified` = 1, `category` = 'Bricks', `price` = '1', `num` = 1, `street` = 'street', `city` = 'vancouver', `zipcode` = 'v5j 3a', `location` = 'metro', `flagCount` = 5, `expires` = '1111-11-11 11:11:11', `expired` = 1, `survey_id` = '47b54d20-8e78-11e2-9e96-0800200c9a66', `survey_time_sent` = NULL WHERE `listings_listing`.`id` = 1 ; args=(u'1', u'hubertngu@gmail.com', u'1111-11-11 11:11:11', u'2013-03-16 17:27:58', u'1', u'1', True, u'Bricks', u'1', 1, u'street', u'vancouver', u'v5j 3a', u'metro', 5, u'1111-11-11 11:11:11', True, u'47b54d20-8e78-11e2-9e96-0800200c9a66', 1)'
'2013-03-16 17:28:04,848 - django.db.backends - DEBUG - (0.083) SELECT `listings_listing`.`id`, `listings_listing`.`url`, `listings_listing`.`creator`, `listings_listing`.`created`, `listings_listing`.`lastModified`, `listings_listing`.`title`, `listings_listing`.`textContent`, `listings_listing`.`verified`, `listings_listing`.`category`, `listings_listing`.`price`, `listings_listing`.`num`, `listings_listing`.`street`, `listings_listing`.`city`, `listings_listing`.`zipcode`, `listings_listing`.`location`, `listings_listing`.`flagCount`, `listings_listing`.`expires`, `listings_listing`.`expired`, `listings_listing`.`survey_id`, `listings_listing`.`survey_time_sent` FROM `listings_listing` WHERE `listings_listing`.`survey_id` = '47b54d20-8e78-11e2-9e96-0800200c9a66' ; args=(u'47b54d20-8e78-11e2-9e96-0800200c9a66',)'
